bar_index,equity,drawdown
289,99717.07,0.0037
290,99704.50,0.0032
291,99755.54,0.0034
292,99737.64,0.0033
293,99740.62,0.0033
294,99746.22,0.0035
295,99724.96,0.0038
296,99698.12,0.0038
297,99698.12,0.0036
298,99712.65,0.0035
299,99718.76,0.0036
300,99718.24,0.0036
301,99718.24,0.0034
302,99728.68,0.0034
303,99731.66,0.0035
304,99719.73,0.0035
305,99719.73,0.0035
306,99719.73,0.0035
307,99719.73,0.0035
308,99719.73,0.0035
309,99719.73,0.0035
310,99719.73,0.0035
311,99719.73,0.0035
312,99719.73,0.0035
313,99719.73,0.0035
314,99719.73,0.0035
315,99719.73,0.0035
316,99719.73,0.0035
317,99719.73,0.0035
318,99719.73,0.0035
319,99719.73,0.0034
320,99734.63,0.0035
321,99725.69,0.0035
322,99727.18,0.0034
323,99737.61,0.0035
324,99727.18,0.0037
325,99700.39,0.0041
326,99667.58,0.0040
327,99676.52,0.0040
328,99675.78,0.0040
329,99669.29,0.0037
330,99699.24,0.0035
331,99721.59,0.0033
332,99743.94,0.0034
333,99735.00,0.0033
334,99739.45,0.0035
335,99727.54,0.0035
336,99727.54,0.0034
337,99736.46,0.0034
338,99737.58,0.0038
339,99695.11,0.0038
340,99696.23,0.0038
341,99696.23,0.0040
342,99670.15,0.0041
343,99666.43,0.0041
344,99666.43,0.0041
345,99666.43,0.0041
346,99664.94,0.0040
347,99668.66,0.0040
348,99669.41,0.0040
349,99669.41,0.0040
350,99669.41,0.0040
351,99669.41,0.0040
352,99669.41,0.0040
353,99669.41,0.0040
354,99676.86,0.0039
355,99684.31,0.0040
356,99673.88,0.0039
357,99682.82,0.0039
358,99682.82,0.0040
359,99674.02,0.0043
360,99641.84,0.0041
361,99660.45,0.0041
362,99660.45,0.0041
363,99658.96,0.0042
364,99654.49,0.0043
365,99641.09,0.0044
366,99632.16,0.0044
367,99630.67,0.0046
368,99617.27,0.0046
369,99617.27,0.0046
370,99617.27,0.0046
371,99617.27,0.0046
372,99617.27,0.0046
373,99617.27,0.0046
374,99617.27,0.0046
375,99617.27,0.0046
376,99617.27,0.0046
377,99617.27,0.0046
378,99617.27,0.0046
379,99617.27,0.0046
380,99617.27,0.0046
381,99617.27,0.0046
382,99617.27,0.0046
383,99617.27,0.0046
384,99617.27,0.0046
385,99617.27,0.0046
386,99616.15,0.0047
387,99607.88,0.0050
388,99573.70,0.0050
389,99573.70,0.0050
390,99573.70,0.0050
391,99573.70,0.0050
392,99573.70,0.0056
393,99515.73,0.0056
394,99512.76,0.0057
395,99500.89,0.0057
396,99500.89,0.0057
397,99500.89,0.0057
398,99500.89,0.0054
399,99530.57,0.0050
400,99570.78,0.0049
401,99581.82,0.0043
402,99640.56,0.0042
403,99652.45,0.0042
404,99652.45,0.0042
405,99652.45,0.0041
406,99665.11,0.0046
407,99609.25,0.0049
408,99583.95,0.0050
409,99573.54,0.0050
410,99569.08,0.0056
411,99511.08,0.0058
412,99493.23,0.0061
413,99466.47,0.0056
414,99517.02,0.0056
415,99517.02,0.0056
416,99517.02,0.0056
417,99517.02,0.0056
418,99517.02,0.0055
419,99519.25,0.0060
420,99471.66,0.0062
421,99453.81,0.0062
422,99453.81,0.0062
423,99453.81,0.0062
424,99453.81,0.0062
425,99453.81,0.0062
426,99453.81,0.0062
427,99453.81,0.0062
428,99453.81,0.0062
429,99453.81,0.0062
430,99453.81,0.0062
431,99453.81,0.0062
432,99453.81,0.0062
433,99453.81,0.0063
434,99446.37,0.0063
435,99441.91,0.0063
436,99444.88,0.0063
437,99444.88,0.0064
438,99435.96,0.0062
439,99453.80,0.0065
440,99427.03,0.0059
441,99482.78,0.0057
442,99501.38,0.0058
443,99496.92,0.0058
444,99493.20,0.0061
445,99459.71,0.0061
446,99466.40,0.0059
447,99479.79,0.0059
448,99479.79,0.0059
449,99479.79,0.0059
450,99479.79,0.0059
451,99479.79,0.0063
452,99443.54,0.0057
453,99499.28,0.0058
454,99491.84,0.0058
455,99491.84,0.0056
456,99511.18,0.0055
457,99520.86,0.0055
458,99524.58,0.0055
459,99524.58,0.0055
460,99524.58,0.0055
461,99524.58,0.0055
462,99524.58,0.0056
463,99514.90,0.0057
464,99507.46,0.0059
465,99486.62,0.0059
466,99486.62,0.0064
467,99431.55,0.0077
468,99303.58,0.0072
469,99354.12,0.0066
470,99416.58,0.0066
471,99409.14,0.0075
472,99324.34,0.0073
473,99342.19,0.0069
474,99380.85,0.0069
475,99380.85,0.0069
476,99380.85,0.0069
477,99380.85,0.0069
478,99380.85,0.0069
479,99380.85,0.0069
480,99380.85,0.0069
481,99380.85,0.0069
482,99380.85,0.0069
483,99380.85,0.0066
484,99413.60,0.0066
485,99418.07,0.0062
486,99452.35,0.0064
487,99428.85,0.0069
488,99386.76,0.0074
489,99334.64,0.0074
490,99334.64,0.0074
491,99334.64,0.0074
492,99334.64,0.0074
493,99334.64,0.0074
494,99334.64,0.0074
