bar_index,equity,drawdown
289,100191.30,0.0000
290,100432.12,0.0000
291,100432.12,0.0000
292,100432.12,0.0000
293,100432.12,0.0003
294,100406.24,0.0004
295,100392.58,0.0001
296,100422.34,0.0001
297,100422.34,0.0002
298,100409.02,0.0004
299,100395.70,0.0003
300,100406.36,0.0003
301,100406.36,0.0003
302,100406.36,0.0003
303,100406.36,0.0003
304,100406.36,0.0003
305,100406.36,0.0003
306,100406.36,0.0003
307,100406.36,0.0003
308,100406.36,0.0003
309,100406.36,0.0003
310,100406.36,0.0003
311,100406.36,0.0003
312,100406.36,0.0003
313,100406.36,0.0003
314,100406.36,0.0003
315,100406.36,0.0003
316,100406.36,0.0003
317,100406.36,0.0003
318,100406.36,0.0003
319,100406.36,0.0003
320,100406.36,0.0003
321,100406.36,0.0002
322,100410.35,0.0003
323,100406.36,0.0003
324,100406.36,0.0003
325,100406.36,0.0003
326,100406.36,0.0004
327,100393.30,0.0002
328,100408.76,0.0001
329,100423.41,0.0001
330,100423.41,0.0001
331,100423.41,0.0001
332,100423.41,0.0001
333,100423.41,0.0001
334,100423.41,0.0001
335,100423.41,0.0001
336,100423.41,0.0001
337,100423.41,0.0001
338,100423.41,0.0001
339,100423.41,0.0001
340,100423.41,0.0001
341,100423.41,0.0001
342,100423.41,0.0001
343,100423.41,0.0001
344,100423.41,0.0001
345,100423.41,0.0001
346,100423.41,0.0001
347,100423.41,0.0001
348,100423.41,0.0001
349,100423.41,0.0001
350,100423.41,0.0001
351,100423.41,0.0001
352,100423.41,0.0001
353,100423.41,0.0001
354,100423.41,0.0001
355,100423.41,0.0001
356,100423.41,0.0001
357,100423.41,0.0001
358,100423.41,0.0001
359,100423.41,0.0001
360,100423.41,0.0001
361,100423.41,0.0001
362,100423.41,0.0001
363,100423.41,0.0001
364,100423.41,0.0001
365,100423.41,0.0000
366,100440.72,0.0000
367,100436.46,0.0000
368,100463.09,0.0000
369,100463.09,0.0000
370,100463.09,0.0000
371,100463.09,0.0000
372,100463.09,0.0000
373,100463.09,0.0000
374,100463.09,0.0000
375,100463.09,0.0000
376,100463.09,0.0000
377,100463.09,0.0003
378,100436.47,0.0003
379,100436.47,0.0005
380,100409.84,0.0008
381,100383.21,0.0008
382,100383.21,0.0004
383,100421.03,0.0003
384,100432.48,0.0000
385,100459.11,0.0000
386,100459.11,0.0000
387,100459.11,0.0000
388,100459.11,0.0000
389,100459.11,0.0000
390,100459.11,0.0000
391,100459.11,0.0000
392,100459.11,0.0000
393,100459.11,0.0000
394,100472.41,0.0002
395,100455.91,0.0001
396,100459.37,0.0003
397,100442.16,0.0000
398,100526.73,0.0000
399,100604.01,0.0000
400,100604.01,0.0000
401,100604.01,0.0000
402,100604.01,0.0000
403,100604.01,0.0000
404,100604.01,0.0000
405,100604.01,0.0000
406,100604.01,0.0000
407,100604.01,0.0000
408,100604.01,0.0000
409,100604.01,0.0001
410,100598.95,0.0000
411,100612.00,0.0001
412,100597.88,0.0001
413,100597.88,0.0001
414,100597.88,0.0001
415,100597.88,0.0001
416,100597.88,0.0001
417,100597.88,0.0001
418,100597.88,0.0001
419,100597.88,0.0001
420,100597.88,0.0001
421,100597.88,0.0001
422,100597.88,0.0001
423,100597.88,0.0001
424,100597.88,0.0001
425,100597.88,0.0001
426,100597.88,0.0001
427,100597.88,0.0001
428,100597.88,0.0007
429,100539.46,0.0009
430,100522.00,0.0006
431,100556.15,0.0006
432,100556.15,0.0006
433,100556.15,0.0006
434,100556.15,0.0006
435,100556.15,0.0006
436,100556.15,0.0006
437,100556.15,0.0006
438,100556.15,0.0010
439,100515.95,0.0010
440,100515.95,0.0009
441,100519.95,0.0008
442,100527.93,0.0010
443,100515.95,0.0008
444,100531.13,0.0008
445,100531.13,0.0008
446,100531.13,0.0008
447,100531.13,0.0008
448,100531.13,0.0008
449,100531.13,0.0008
450,100531.13,0.0009
451,100517.82,0.0010
452,100515.42,0.0009
453,100517.82,0.0009
454,100522.34,0.0009
455,100519.75,0.0017
456,100444.33,0.0019
457,100418.36,0.0019
458,100418.36,0.0019
459,100418.36,0.0019
460,100418.36,0.0020
461,100415.70,0.0020
462,100415.70,0.0017
463,100442.03,0.0017
464,100442.03,0.0016
465,100452.14,0.0017
466,100438.84,0.0013
467,100482.73,0.0013
468,100482.73,0.0013
469,100482.73,0.0013
470,100482.73,0.0013
471,100482.73,0.0013
472,100482.73,0.0013
473,100482.73,0.0013
474,100482.73,0.0013
475,100482.73,0.0013
476,100482.73,0.0013
477,100482.73,0.0013
478,100482.73,0.0013
479,100482.73,0.0013
480,100482.73,0.0014
481,100471.83,0.0014
482,100469.43,0.0015
483,100456.14,0.0015
484,100456.14,0.0015
485,100456.14,0.0015
486,100456.14,0.0015
487,100456.14,0.0015
488,100456.14,0.0015
489,100456.14,0.0015
490,100456.14,0.0015
491,100456.14,0.0015
492,100456.14,0.0015
493,100456.14,0.0015
494,100456.14,0.0015
