bar_index,equity,drawdown
289,99760.31,0.0024
290,99760.31,0.0021
291,99785.85,0.0022
292,99776.89,0.0022
293,99778.39,0.0022
294,99783.98,0.0024
295,99762.72,0.0026
296,99735.86,0.0026
297,99735.86,0.0026
298,99735.86,0.0026
299,99739.93,0.0026
300,99739.59,0.0028
301,99723.19,0.0028
302,99723.19,0.0028
303,99723.19,0.0028
304,99723.19,0.0028
305,99723.19,0.0028
306,99723.19,0.0028
307,99723.19,0.0028
308,99723.19,0.0028
309,99723.19,0.0028
310,99723.19,0.0028
311,99719.83,0.0029
312,99706.42,0.0032
313,99676.24,0.0032
314,99676.24,0.0032
315,99676.24,0.0032
316,99676.24,0.0032
317,99676.24,0.0032
318,99676.24,0.0032
319,99676.24,0.0035
320,99653.90,0.0033
321,99667.30,0.0033
322,99665.07,0.0033
323,99665.07,0.0035
324,99654.64,0.0037
325,99627.87,0.0040
326,99595.09,0.0037
327,99630.81,0.0037
328,99630.81,0.0035
329,99650.24,0.0036
330,99635.27,0.0038
331,99624.10,0.0038
332,99620.38,0.0038
333,99615.91,0.0038
334,99618.14,0.0037
335,99630.03,0.0038
336,99624.09,0.0037
337,99630.03,0.0037
338,99631.52,0.0043
339,99574.96,0.0042
340,99576.45,0.0042
341,99576.45,0.0038
342,99615.51,0.0038
343,99621.09,0.0038
344,99621.09,0.0038
345,99621.09,0.0038
346,99619.60,0.0038
347,99623.32,0.0038
348,99624.07,0.0038
349,99624.07,0.0038
350,99624.07,0.0037
351,99633.05,0.0041
352,99588.37,0.0037
353,99628.57,0.0037
354,99628.57,0.0037
355,99628.57,0.0038
356,99618.14,0.0037
357,99627.08,0.0038
358,99619.63,0.0035
359,99645.99,0.0026
360,99742.52,0.0031
361,99686.63,0.0031
362,99686.63,0.0032
363,99684.39,0.0032
364,99677.69,0.0034
365,99657.58,0.0034
366,99657.58,0.0034
367,99657.58,0.0032
368,99684.38,0.0032
369,99681.40,0.0031
370,99693.32,0.0032
371,99678.62,0.0030
372,99695.55,0.0030
373,99696.30,0.0030
374,99696.30,0.0030
375,99696.30,0.0030
376,99696.30,0.0033
377,99666.11,0.0035
378,99646.00,0.0038
379,99623.65,0.0039
380,99609.14,0.0040
381,99603.04,0.0042
382,99582.48,0.0041
383,99590.58,0.0041
384,99589.09,0.0045
385,99553.36,0.0044
386,99555.59,0.0043
387,99572.12,0.0036
388,99640.46,0.0036
389,99640.46,0.0036
390,99640.46,0.0036
391,99640.46,0.0036
392,99640.46,0.0048
393,99524.45,0.0048
394,99518.51,0.0051
395,99494.75,0.0051
396,99494.75,0.0054
397,99464.69,0.0054
398,99464.69,0.0049
399,99509.20,0.0049
400,99509.20,0.0048
401,99520.24,0.0042
402,99578.94,0.0041
403,99590.83,0.0041
404,99590.83,0.0041
405,99590.83,0.0040
406,99603.48,0.0045
407,99547.65,0.0048
408,99522.37,0.0048
409,99522.37,0.0048
410,99522.37,0.0048
411,99522.37,0.0048
412,99522.37,0.0046
413,99535.76,0.0049
414,99510.47,0.0053
415,99467.34,0.0053
416,99467.34,0.0053
417,99467.34,0.0053
418,99467.34,0.0053
419,99467.34,0.0053
420,99467.34,0.0051
421,99485.19,0.0054
422,99455.46,0.0054
423,99464.38,0.0061
424,99390.07,0.0054
425,99461.37,0.0051
426,99492.58,0.0051
427,99492.58,0.0051
428,99492.58,0.0051
429,99492.58,0.0051
430,99492.58,0.0051
431,99492.58,0.0049
432,99505.96,0.0045
433,99547.62,0.0046
434,99540.17,0.0045
435,99549.11,0.0046
436,99543.15,0.0044
437,99558.04,0.0044
438,99558.04,0.0044
439,99558.04,0.0046
440,99540.17,0.0042
441,99577.38,0.0040
442,99596.00,0.0041
443,99589.29,0.0042
444,99583.71,0.0045
445,99550.19,0.0045
446,99554.65,0.0044
447,99563.59,0.0046
448,99542.75,0.0050
449,99501.07,0.0050
450,99501.07,0.0050
451,99501.07,0.0054
452,99464.81,0.0048
453,99520.56,0.0049
454,99513.12,0.0041
455,99589.00,0.0044
456,99559.96,0.0045
457,99545.44,0.0045
458,99545.44,0.0045
459,99545.44,0.0045
460,99545.44,0.0045
461,99545.44,0.0045
462,99545.44,0.0045
463,99545.44,0.0045
464,99545.44,0.0045
465,99545.44,0.0045
466,99545.44,0.0045
467,99545.44,0.0045
468,99545.44,0.0045
469,99545.44,0.0045
470,99545.44,0.0045
471,99545.44,0.0045
472,99545.44,0.0045
473,99545.44,0.0047
474,99526.06,0.0045
475,99545.43,0.0042
476,99577.48,0.0043
477,99572.26,0.0043
478,99572.26,0.0043
479,99572.26,0.0043
480,99572.26,0.0043
481,99572.26,0.0043
482,99572.26,0.0043
483,99572.26,0.0043
484,99572.26,0.0043
485,99572.26,0.0043
486,99572.26,0.0043
487,99572.26,0.0043
488,99572.26,0.0043
489,99572.26,0.0043
490,99572.26,0.0043
491,99567.79,0.0049
492,99507.40,0.0043
493,99565.49,0.0043
494,99565.49,0.0043
