timestamp,time.hour_sin,time.hour_cos,time.minute_sin,time.minute_cos,time.dow_sin,time.dow_cos,time.dom_sin,time.dom_cos,price.close,price.open,price.high,price.low,price.return_1,volume.raw,sma10,sma20,sma50,ema10,ema20,ema50,price_vs_sma20,price_vs_ema20,atr14,atr14_pct,bb20.mean,bb20.sd,bb20.upper,bb20.lower,bb20.percent_b,bb20.bandwidth,keltner.middle,keltner.upper,keltner.lower,rsi14,rsi21,stoch14.k,stoch14.d,stoch14.slow,will14,macd.line,macd.signal,macd.hist,roc5,roc10,roc20,cci20,obv,vwap,vwap_dist,don20.up,don20.mid,don20.dn,don20.position,pattern.doji,pattern.hammer,pattern.shooting_star,pattern.engulfing_bull,pattern.engulfing_bear
1759155900000,-0.5000000000,-0.8660254038,0.5000000000,-0.8660254038,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.8700000000,664.8400000000,664.9300000000,664.7300000000,0.0000451236,117215.0000000000,208.5126689508,631.4089510000,nan,664.6485046648,664.5747626891,664.4500043081,0.0529942582,0.0004442500,0.2511481294,0.0003777402,631.4089510000,7.9236190429,647.2561890858,615.5617129142,1.5557375619,0.0501964315,664.5747626891,665.0620740193,664.0874513589,62.6597786646,nan,93.6170212766,83.1458289886,70.8447236995,-6.3829787234,0.0872988736,0.0599906672,0.0273082064,0.0993661643,0.0195565183,0.0964576540,224.5353340653,336106.0000000000,664.6338523268,0.0003553049,665.2800000000,664.6350000000,663.9900000000,0.6821705426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759155960000,-0.5000000000,-0.8660254038,0.4067366431,-0.9135454576,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.8600000000,664.8600000000,664.8856000000,664.7700000000,-0.0000150405,98451.0000000000,187.7033920557,599.8560034500,nan,664.6869583621,664.6019281473,664.4660825705,0.1083660015,0.0003883104,0.2414661202,0.0003631834,599.8560034500,13.3523975157,626.5607984814,573.1512084186,1.7170847309,0.0890373519,664.6019281473,665.0636283445,664.1402279501,62.3331891922,60.4479342676,92.5531914894,87.8495102390,79.3471169693,-7.4468085106,0.0992377054,0.0678400749,0.0313976305,0.0662231721,0.0631960654,0.0526703887,258.7663342328,237655.0000000000,664.6397063773,0.0003314482,665.2800000000,664.6350000000,663.9900000000,0.6744186047,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759156020000,-0.5000000000,-0.8660254038,0.3090169944,-0.9510565163,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.8600000000,664.8600000000,664.9800000000,664.8500000000,0.0000000000,105445.0000000000,168.9770528501,569.8662032775,nan,664.7184204781,664.6265064190,664.4815303129,0.1666949122,0.0003513155,0.2335042545,0.0003512082,569.8662032775,18.3477007133,606.5616047040,533.1708018510,1.7943556008,0.1287860246,664.6265064190,665.0680365964,664.1849762415,62.3331891922,60.4479342676,87.8787878788,87.8641490589,83.6056330141,-12.1212121212,0.1074605769,0.0757641753,0.0316964017,0.0285856139,0.0662231721,0.0090252708,274.8538149050,237655.0000000000,664.6456492339,0.0003225038,665.2800000000,664.6350000000,663.9900000000,0.6744186047,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759156080000,-0.5000000000,-0.8660254038,0.2079116908,-0.9781476007,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.8700000000,664.8600000000,664.9800000000,664.8300000000,0.0000150408,214263.0000000000,152.1253475651,541.3783931136,nan,664.7459803912,664.6496962838,664.4967644182,0.2281059024,0.0003314584,0.2275396648,0.0003422318,541.3783931136,23.0834017483,587.5451966102,495.2115896170,1.8374502622,0.1705528114,664.6496962838,665.0770734435,664.2223191241,62.5595098605,60.5918810296,88.8888888889,88.3765189739,85.9910759940,-11.1111111111,0.1134760965,0.0833065595,0.0301695370,0.0000000000,0.0692343583,0.0165473254,284.1233146065,451918.0000000000,664.6573083327,0.0003200020,665.2800000000,664.6350000000,663.9900000000,0.6821705426,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759156140000,-0.5000000000,-0.8660254038,0.1045284633,-0.9945218954,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.7600000000,664.8700000000,664.8700000000,664.7100000000,-0.0001654459,115987.0000000000,136.9716928086,514.2929734579,nan,664.7485294110,664.6602013996,664.5070873822,0.2925706442,0.0001501498,0.2227154031,0.0003350313,514.2929734579,27.4541661618,569.2013057815,459.3846411344,1.8701656941,0.2135293895,664.6602013996,665.0768408434,664.2435619559,58.4025614942,58.1476250044,77.7777777778,83.0771483758,84.5341121849,-22.2222222222,0.1081210068,0.0882694490,0.0198515578,-0.0120329703,0.0886518416,-0.0496173450,291.0193233207,335931.0000000000,664.6601182007,0.0001502750,665.1100000000,664.5500000000,663.9900000000,0.6875000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759156200000,-0.5000000000,-0.8660254038,0.0000000000,-1.0000000000,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.6550000000,664.7600000000,664.7600000000,664.5900000000,-0.0001579517,194020.0000000000,123.3190235277,488.5630747850,nan,664.7315240635,664.6597060283,664.5128878770,0.3604282319,-0.0000070804,0.2189500171,0.0003294190,488.5630747850,31.6125369256,551.7881486362,425.3380009339,1.8925798302,0.2588205172,664.6597060283,665.0686815276,664.2507305289,54.6683528591,55.8879981559,67.1717171717,75.1244327738,79.8292724793,-32.8282828283,0.0943172070,0.0894790006,0.0048382064,-0.0323371486,0.0669968835,-0.0458674206,295.9581104081,141911.0000000000,664.6598941900,-0.0000073635,664.9800000000,664.4850000000,663.9900000000,0.6717171717,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759156260000,-0.5000000000,-0.8660254038,-0.1045284633,-0.9945218954,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.6600000000,664.6650000000,664.7700000000,664.5850000000,0.0000075227,100134.0000000000,111.0111211750,464.1274210458,nan,664.7185196883,664.6597340256,664.5186569799,0.4320636314,0.0000004002,0.2165250159,0.0003257681,464.1274210458,35.6057685025,535.3389580508,392.9158840408,1.9080062542,0.3068620115,664.6597340256,665.0648119750,664.2546560761,54.8165063470,55.9735419478,67.6767676768,71.4006002253,75.6149363523,-32.3232323232,0.0828262846,0.0881484574,-0.0053221728,-0.0300815209,0.0361217302,-0.0225628375,299.2629226912,242045.0000000000,664.6598965273,0.0000001557,664.9800000000,664.4850000000,663.9900000000,0.6767676768,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759156320000,-0.5000000000,-0.8660254038,-0.2079116908,-0.9781476007,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.8100000000,664.6900000000,664.8870000000,664.6900000000,0.0002256793,131070.0000000000,99.9240090575,440.9342999935,nan,664.7351524723,664.6740450707,664.5300821964,0.5077302900,0.0002045438,0.2172732291,0.0003268200,440.9342999935,39.5160617761,519.9664235458,361.9021764412,1.9163588801,0.3584757346,664.6740450707,665.0840152252,664.2640749163,59.1317233776,58.5081185015,82.8282828283,77.1144415268,76.3646889395,-17.1717171717,0.0848453479,0.0874878355,-0.0026424876,-0.0075203802,0.0210630839,0.0398769083,301.2898634013,373115.0000000000,664.6641146482,0.0002194873,664.9800000000,664.4850000000,663.9900000000,0.8282828283,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759156380000,-0.5000000000,-0.8660254038,-0.3090169944,-0.9510565163,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.8100000000,664.8150000000,664.8400000000,664.6450000000,0.0000000000,107733.0000000000,89.9256081517,418.8990849938,nan,664.7487611137,664.6869931592,664.5410593651,0.5870409457,0.0001850598,0.2156822841,0.0003244270,418.8990849938,43.2153317573,505.3297485085,332.4684214792,1.9225906930,0.4126562536,664.6869931592,665.0949662983,664.2790200202,59.1317233776,58.5081185015,82.8282828283,79.9713621775,78.1680255585,-17.1717171717,0.0854603365,0.0870823357,-0.0016219992,-0.0090243205,-0.0090243205,0.0346083241,302.5988498125,373115.0000000000,664.6674082280,0.0002145310,664.9800000000,664.4850000000,663.9900000000,0.8282828283,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759156440000,-0.5000000000,-0.8660254038,-0.4067366431,-0.9135454576,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.8600000000,664.8100000000,664.8800000000,664.8050000000,0.0000752095,104763.0000000000,80.9350473365,397.9636307441,nan,664.7689863657,664.7034700012,664.5535668410,0.6706551771,0.0002354885,0.2056335496,0.0003092885,397.9636307441,46.7161020324,491.3958348090,304.5314266793,1.9282889499,0.4695514708,664.7034700012,665.0856458264,664.3212941761,60.5868865353,59.3677646547,84.8101265823,82.3907443799,80.2793849692,-15.1898734177,0.0889568622,0.0874572410,0.0014996212,0.0150430230,0.0030082426,0.0285856139,303.8487146867,477878.0000000000,664.6715455757,0.0002835302,664.9800000000,664.4850000000,663.9900000000,0.8787878788,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
